TahunKendaraan,JumlahKursi,Pendapatan,JumlahKendaraan,HasilKeputusan
2020,19,1400000,10,LAYAK
2020,19,2000000,10,LAYAK
2020,19,3500000,10,LAYAK
2012,19,1300000,1,TIDAK LAYAK
2018,15,1950000,2,TIDAK LAYAK
2013,27,3300000,1,TIDAK LAYAK
2013,24,2800000,1,TIDAK LAYAK
2020,19,3500000,10,LAYAK
2020,19,4000000,10,LAYAK
2020,19,3800000,10,LAYAK
2013,25,2400000,4,TIDAK LAYAK
2013,19,1900000,2,TIDAK LAYAK
2018,15,2600000,2,LAYAK
2013,25,3000000,4,TIDAK LAYAK
2015,19,2800000,1,LAYAK
2020,19,4000000,10,LAYAK
2020,19,3800000,10,LAYAK
2020,19,4200000,10,LAYAK
2011,19,2100000,2,TIDAK LAYAK
2013,25,3000000,4,TIDAK LAYAK
2013,19,2500000,2,LAYAK
2013,25,2000000,4,TIDAK LAYAK
2020,19,3900000,10,LAYAK
2011,19,2500000,2,TIDAK LAYAK
2008,19,2500000,1,TIDAK LAYAK
2009,19,2900000,2,TIDAK LAYAK
2017,33,3500000,2,LAYAK
2012,19,2800000,2,TIDAK LAYAK
2013,19,3000000,4,LAYAK
2013,19,3000000,4,LAYAK
2020,16,3200000,4,LAYAK
2015,19,1700000,2,TIDAK LAYAK
2020,16,3000000,4,LAYAK
2021,20,2900000,3,LAYAK
2016,19,2000000,2,LAYAK
2009,19,2600000,2,TIDAK LAYAK
2010,19,1500000,1,TIDAK LAYAK
2017,33,3200000,2,LAYAK
2013,19,2850000,4,LAYAK
2014,19,2550000,2,LAYAK
2020,16,2900000,4,LAYAK
2015,19,2450000,2,LAYAK
2021,20,3000000,3,LAYAK
2007,19,1000000,1,TIDAK LAYAK
2009,19,2000000,3,TIDAK LAYAK
2016,19,2500000,2,TIDAK LAYAK
2012,19,2800000,2,LAYAK
2013,19,2340000,4,TIDAK LAYAK
2014,19,3000000,2,TIDAK LAYAK
2020,16,3400000,4,LAYAK
2021,20,2800000,3,LAYAK
2016,15,2680000,3,LAYAK
2016,15,1900000,3,TIDAK LAYAK
2016,15,2500000,3,LAYAK
2018,15,3500000,1,LAYAK
2019,15,3330000,1,LAYAK
2020,16,5000000,10,LAYAK
2020,16,4900000,10,LAYAK
2020,16,4850000,10,LAYAK
2008,19,2000000,1,TIDAK LAYAK
2012,19,2500000,1,LAYAK
2013,19,3000000,4,LAYAK
2015,19,2000000,1,TIDAK LAYAK
2020,16,4500000,10,LAYAK
2020,16,4700000,10,LAYAK
2020,16,4900000,10,LAYAK
2010,19,3200000,1,LAYAK
2013,19,3000000,4,LAYAK
2013,19,3200000,4,LAYAK
2014,19,3000000,2,LAYAK
2016,19,3500000,2,LAYAK
2020,16,4800000,10,LAYAK
2020,16,4500000,10,LAYAK
2020,16,4850000,10,LAYAK
2011,19,3500000,1,TIDAK LAYAK
2013,19,3500000,4,LAYAK
2014,19,2900000,2,LAYAK
2016,19,3600000,2,LAYAK
2020,16,4900000,10,LAYAK
2020,16,3500000,14,LAYAK
2012,19,2400000,1,LAYAK
2015,19,3000000,1,TIDAK LAYAK
2016,19,2900000,4,LAYAK
2020,16,3300000,14,LAYAK
2020,16,3000000,14,LAYAK
2020,16,2900000,14,LAYAK
2020,16,3000000,14,LAYAK
2010,19,2800000,1,TIDAK LAYAK
2020,16,2800000,14,LAYAK
2012,16,1900000,1,TIDAK LAYAK
2016,19,2500000,4,LAYAK
2016,19,3000000,4,LAYAK
2020,16,2700000,14,LAYAK
2020,16,3500000,14,LAYAK
2020,16,3200000,14,LAYAK
2020,16,3100000,14,LAYAK
2011,16,2550000,1,TIDAK LAYAK
2020,16,3350000,14,LAYAK
2013,16,2890000,1,TIDAK LAYAK
2016,19,3300000,4,LAYAK
2020,16,3450000,14,LAYAK
2020,16,3400000,14,LAYAK
2020,16,2900000,14,LAYAK
2008,19,1000000,1,TIDAK LAYAK
2010,19,1600000,1,TIDAK LAYAK
2011,19,1400000,1,TIDAK LAYAK
2012,19,1900000,2,TIDAK LAYAK
2012,19,1500000,2,TIDAK LAYAK
2013,19,1900000,2,LAYAK
2013,19,1750000,2,LAYAK
2015,19,2000000,1,TIDAK LAYAK
2016,19,2400000,6,TIDAK LAYAK
2016,19,3000000,6,LAYAK
2016,19,3400000,6,LAYAK
2016,19,3900000,6,LAYAK
2016,19,3600000,6,LAYAK
2016,19,3300000,6,LAYAK
2020,16,3500000,11,LAYAK
2020,16,3000000,11,LAYAK
2020,16,3250000,11,LAYAK
2020,16,3200000,11,LAYAK
2020,16,2500000,11,TIDAK LAYAK
2020,16,3900000,11,LAYAK
2020,16,3100000,11,LAYAK
2020,16,3700000,11,LAYAK
2020,16,3500000,11,LAYAK
2020,16,3200000,11,LAYAK
2020,16,3400000,11,LAYAK
